============================================================
log10(x) x                          f(x)=(x^3)/6/(sinh(x)-x)
============================================================
-10.0000 1.e-10                     1. 
-9.99000 1.02329299228075413097e-10 1. 
-9.98000 1.04712854805089953346e-10 1. 
-9.97000 1.07151930523760641741e-10 1. 
-9.96000 1.09647819614318501314e-10 1. 
-9.95000 1.12201845430196343559e-10 1. 
-9.94000 1.14815362149688275155e-10 1. 
-9.93000 1.17489755493952954172e-10 1. 
-9.92000 1.20226443461741290583e-10 1. 
-9.91000 1.23026877081238153424e-10 1. 
-9.90000 1.25892541179416721042e-10 1. 
-9.89000 1.28824955169313396284e-10 1. 
-9.88000 1.31825673855640710205e-10 1. 
-9.87000 1.34896288259165360925e-10 1. 
-9.86000 1.38038426460288483784e-10 1. 
-9.85000 1.41253754462275430216e-10 1. 
-9.84000 1.44543977074592751193e-10 1. 
-9.83000 1.4791083881682074222e-10 1. 
-9.82000 1.51356124843620816246e-10 1. 
-9.81000 1.54881661891248134467e-10 1. 
-9.80000 1.5848931924611134852e-10 1. 
-9.79000 1.62181009735892997285e-10 1. 
-9.78000 1.65958690743756063431e-10 1. 
-9.77000 1.69824365246174435463e-10 1. 
-9.76000 1.737800828749375467e-10 1. 
-9.75000 1.77827941003892280123e-10 1. 
-9.74000 1.8197008586099834401e-10 1. 
-9.73000 1.86208713666286744867e-10 1. 
-9.72000 1.90546071796324718269e-10 1. 
-9.71000 1.94984459975804532357e-10 1. 
-9.70000 1.99526231496887960135e-10 1. 
-9.69000 2.04173794466952933144e-10 1. 
-9.68000 2.08929613085403948312e-10 1. 
-9.67000 2.13796208950223209752e-10 1. 
-9.66000 2.18776162394955256223e-10 1. 
-9.65000 2.23872113856833961195e-10 1. 
-9.64000 2.29086765276777304572e-10 1. 
-9.63000 2.34422881531992211815e-10 1. 
-9.62000 2.39883291901949046532e-10 1. 
-9.61000 2.45470891568503035608e-10 1. 
-9.60000 2.51188643150958011109e-10 1. 
